County Name,Year,MaxT,MinT,Precipitation,Cooling,Heating,AvgT,Corn Yield,Soybean Yield,PDSI
Cuming,2010,80.1,57.5,26.98,974,391,68.8,174.9,55.2,5.17
Cuming,2011,79,56.8,19.25,922,475,67.9,171.9,51.3,-0.49
Cuming,2012,84.7,57.1,9.11,1185,278,70.9,51.2,25.8,-5.56
Cuming,2013,79.3,57.1,16.72,873,384,68.2,195.9,61.1,0.5
Cuming,2014,78.3,56.2,23.58,753,409,67.2,171.8,52.3,2.82
Cuming,2015,78.5,57.8,23.48,845,371,68.1,204.3,59.5,3.92
Cuming,2016,80.8,58.6,21.69,1042,326,69.7,206.5,64.8,4.58
Cuming,2017,80.4,56.8,19.91,940,382,68.6,202.6,62.2,3.25
Cuming,2018,80.6,59.6,28.17,1025,242,70.1,199,59.9,4.99
Cuming,2019,78.9,58.1,19.42,937,404,68.5,199,59.5,3.89
Cuming,2020,81,57.7,11.8,1076,410,69.4,161.4,47.3,-2.26
Cuming,2021,82.1,58,15.82,1084,312,70.1,221,67.7,-0.37
Cuming,2022,83,58.1,10.97,1122,274,70.6,148.2,43.8,-4.07
Cuming,2023,83,58,15.29,1065,226,70.5,133.4,40.8,-4.29
Cuming,2024,81.4,57.5,17.14,964,292,69.4,208.2,59.4,-1.39
Lawrence,2010,85.7,63.6,21.19,1578,96,74.7,146.6,35.2,-1.01
Lawrence,2011,83.2,62.5,25.95,1386,181,72.8,141.6,32.5,3.3
Lawrence,2012,86.8,61.4,16.82,1504,103,74.1,41.4,47.5,1.99
Lawrence,2013,81.6,60.9,25.66,1107,135,71.3,144.6,48.3,3
Lawrence,2014,80.9,60.3,20.91,1040,175,70.6,183.2,50.4,2.98
Lawrence,2015,82.5,62,23.35,1217,109,72.3,149,49.8,3.01
Lawrence,2016,83.2,63.1,23.46,1395,157,73.1,154.8,51.6,2.76
Lawrence,2017,82.9,60.6,16.04,1182,149,71.7,161.1,57.5,-1.54
Lawrence,2018,86.1,65.9,26.18,1713,25,76,159.6,43,2.74
Lawrence,2019,83.7,62.9,23.81,1374,100,73.3,155.7,46,3.91
Lawrence,2020,82.1,61,18.6,1205,202,71.5,173,54.9,2.92
Lawrence,2021,82.2,61.6,21.88,1237,175,71.9,197.1,59.3,2.77
Lawrence,2022,83,62.2,23.44,1286,113,72.6,188.3,47.2,-0.13
Lawrence,2023,82.8,60.3,15.32,1161,150,71.6,190,57.7,-1.03
Lawrence,2024,83.5,62.5,19.78,1308,76,73,177.8,29.8,-0.07
Madison,2010,79.9,58.9,37.91,1015,340,69.4,163.7,49.1,6.98
Madison,2011,79.3,58,25.05,988,418,68.7,110.1,47,-1.15
Madison,2012,84.4,57.3,9.35,1171,266,70.9,50,37.7,-4.07
Madison,2013,80.1,57.5,16.07,908,329,68.8,165.5,41.2,-2.06
Madison,2014,77.7,57.2,28.15,757,383,67.4,194.2,48.8,2.86
Madison,2015,78.9,58.7,30.79,881,302,68.8,165.9,52.6,3.9
Madison,2016,80.8,59.6,23.02,1071,274,70.2,176.2,58.4,2.63
Madison,2017,81.4,57.6,15.92,998,306,69.5,186.7,51.9,-1.94
Madison,2018,82.4,60.6,24.74,1164,164,71.5,194.5,51.4,1.18
Madison,2019,79,58.5,24.32,934,363,68.7,190.5,55.1,2
Madison,2020,79.6,58,15.75,984,396,68.8,188.1,53.5,-1.38
Madison,2021,81.3,58.4,15.98,1046,300,69.9,211.9,60.4,-2.07
Madison,2022,81.8,58.8,13.25,1085,267,70.3,207.5,53.5,-2.34
Madison,2023,82.7,57.7,14.39,1033,229,70.3,199.6,59.2,-2.57
Madison,2024,82,58.4,22.98,1034,245,70.1,201.3,64.2,-0.69
Stearns,2010,75,53.9,24.71,581,654,64.5,171.8,47.6,4.1
Stearns,2011,75.5,54.2,21.74,613,627,64.8,136.2,36.1,-0.61
Stearns,2012,78.4,54.3,16.12,693,480,66.3,150.1,44.2,-2.49
Stearns,2013,74.8,53.9,16.69,517,607,64.4,99.9,29,-1.74
Stearns,2014,73.6,53.9,21.78,447,640,63.7,113.5,36.2,-0.25
Stearns,2015,75.1,54.1,21.05,497,566,64.5,186.9,51.9,1.72
Stearns,2016,75,54.4,23.06,505,547,64.7,190.5,56,3.61
Stearns,2017,74.3,52.7,20.15,424,654,63.5,174.5,46.9,3.28
Stearns,2018,76.6,55.7,17.57,602,418,66.2,187.5,51.1,1.19
Stearns,2019,73.5,53.2,24.86,479,729,63.4,162.7,44.2,5.1
Stearns,2020,75.5,53.8,17.69,592,640,64.7,198.2,53.1,2.44
Stearns,2021,78.9,54.4,12.88,718,467,66.7,123.4,40.1,0.04
Stearns,2022,76.5,54.8,18.61,586,487,65.6,178,48.1,-1.37
Stearns,2023,78.8,55.4,9.19,679,356,67.1,145.1,44.7,-4.18
Stearns,2024,77.4,54.7,21.44,595,431,66.1,191.7,51.1,2.74
Benton,2010,82,59.4,23.68,1095,221,70.7,169.7,54.3,-0.66
Benton,2011,80.2,58.2,21.23,971,323,69.2,175.1,53.1,1.45
Benton,2012,83.3,57.3,16.79,1054,231,70.3,122.9,48.7,0.63
Benton,2013,80.2,57.1,17.36,797,243,68.6,181.8,51.2,-1.04
Benton,2014,78.6,55.9,26.29,689,347,67.2,210.7,62.2,2.89
Benton,2015,79.8,57.7,29.81,809,229,68.8,162.6,57.6,3.73
Benton,2016,80.4,59.1,23.39,987,259,69.8,215.8,65.9,2.96
Benton,2017,78.9,56.3,22.59,746,353,67.6,208.3,62.3,2.53
Benton,2018,82,60.4,20.46,1067,123,71.2,218.6,67.3,1.46
Benton,2019,80,58.4,18.5,903,262,69.2,186.8,53.8,-0.91
Benton,2020,79.3,57,16.76,844,358,68.2,225.7,68.4,-0.76
Benton,2021,80.2,58.4,21.06,947,292,69.3,210.5,61.1,-0.44
Benton,2022,80.6,58,16.19,902,245,69.3,231.6,68.9,-1.31
Benton,2023,80.4,56.6,14.24,808,270,68.5,237.1,70.9,-2.07
Benton,2024,81.3,57.9,17.95,902,198,69.6,242.3,73.3,-0.58
